wl,n,k,k,k
0.3,1.906319102,0.0060481,0.005701264,0.005361874
0.305,1.905110066,0.007157669,0.006810833,0.006471443
0.31,1.903430774,0.008506596,0.00815976,0.00782037
0.315,1.9017016,0.01008946,0.009742624,0.009403234
0.32,1.899838809,0.01258226,0.012235424,0.011896034
0.325,1.898166882,0.015562958,0.015216122,0.014876732
0.33,1.896586655,0.018930251,0.018583415,0.018244025
0.335,1.895391552,0.024254898,0.023908062,0.023568672
0.34,1.894373851,0.02829642,0.027949584,0.027610194
0.345,1.894850975,0.034231715,0.033884879,0.033545489
0.35,1.896595715,0.044410376,0.04406354,0.04372415
0.355,1.901903398,0.052484451,0.052137615,0.051798225
0.36,1.909752657,0.05816165,0.057814814,0.057475424
0.365,1.921595018,0.062190632,0.061843796,0.061504406
0.37,1.932427006,0.062467817,0.062120981,0.061781591
0.375,1.942699459,0.059785525,0.059438689,0.059099299
0.38,1.949360587,0.052901334,0.052554498,0.052215108
0.385,1.953621087,0.046008178,0.045661342,0.045321952
0.39,1.956270818,0.040225949,0.039879113,0.039539723
0.395,1.957278796,0.034143489,0.033796653,0.033457263
0.4,1.957003309,0.029743637,0.029396801,0.029057411
0.405,1.956334539,0.025135004,0.024788168,0.024448778
0.41,1.955665769,0.021351688,0.021004852,0.020665462
0.415,1.95471797,0.018609611,0.018262775,0.017923385
0.42,1.953635308,0.016367835,0.016020999,0.015681609
0.425,1.952489026,0.014623314,0.014276478,0.013937088
0.43,1.951460071,0.013207196,0.01286036,0.01252097
0.435,1.950516704,0.011856759,0.011509923,0.011170533
0.44,1.949722934,0.01053645,0.010189614,0.009850224
0.445,1.94888422,0.009599941,0.009253105,0.008913715
0.45,1.948060536,0.008901865,0.008555029,0.008215639
0.455,1.947276814,0.008215123,0.007868287,0.007528897
0.46,1.946613751,0.007546817,0.007199981,0.006860591
0.465,1.945988965,0.006961836,0.006615,0.00627561
0.47,1.945426617,0.006446425,0.006099589,0.005760199
0.475,1.944875789,0.006059421,0.005712585,0.005373195
0.48,1.944387757,0.00569127,0.005344434,0.005005044
0.485,1.943904377,0.005350923,0.005004087,0.004664697
0.49,1.943464296,0.005034101,0.004687265,0.004347875
0.495,1.943024215,0.004717279,0.004370443,0.004031053
0.5,1.942655456,0.004482968,0.004136132,0.003796742
0.505,1.942291893,0.004260072,0.003913236,0.003573846
0.51,1.941950783,0.004037177,0.003690341,0.003350951
0.515,1.941638947,0.003848524,0.003501688,0.003162298
0.52,1.94132711,0.003673459,0.003326623,0.002987233
0.525,1.941031149,0.003498394,0.003151558,0.002812168
0.53,1.940778117,0.003326262,0.002979426,0.002640036
0.535,1.940525085,0.003205496,0.00285866,0.00251927
0.54,1.940272053,0.003084729,0.002737893,0.002398503
0.545,1.940042968,0.002963962,0.002617126,0.002277736
0.55,1.93982944,0.002848702,0.002501866,0.002162476
0.555,1.939615911,0.002741978,0.002395142,0.002055752
0.56,1.939402382,0.002635254,0.002288418,0.001949028
0.565,1.939223065,0.00252853,0.002181694,0.001842304
0.57,1.939045836,0.002446415,0.002099579,0.001760189
0.575,1.938868607,0.002373394,0.002026558,0.001687168
0.58,1.938699712,0.002300372,0.001953536,0.001614146
0.585,1.938552376,0.002228181,0.001881345,0.001541955
0.59,1.938405041,0.00216733,0.001820494,0.001481104
0.595,1.938257706,0.002106478,0.001759642,0.001420252
0.6,1.938119564,0.002045627,0.001698791,0.001359401
0.605,1.937987176,0.001986297,0.001639461,0.001300071
0.61,1.937854788,0.001929191,0.001582355,0.001242965
0.615,1.9377224,0.001872084,0.001525248,0.001185858
0.62,1.93761134,0.001814978,0.001468142,0.001128752
0.625,1.937501373,0.001770416,0.00142358,0.00108419
0.63,1.937391405,0.001730161,0.001383325,0.001043935
0.635,1.937285429,0.001689905,0.001343069,0.001003679
0.64,1.937189341,0.001649804,0.001302968,0.000963578
0.645,1.937093253,0.001611421,0.001264585,0.000925195
0.65,1.936997165,0.001573038,0.001226202,0.000886812
0.655,1.936911067,0.001534655,0.001187819,0.000848429
0.66,1.936830994,0.001498635,0.001151799,0.000812409
0.665,1.936750921,0.001465869,0.001119033,0.000779643
0.67,1.936670847,0.001433103,0.001086267,0.000746877
0.675,1.936591799,0.001400336,0.0010535,0.00071411
0.68,1.936512793,0.001374673,0.001027837,0.000688447
0.685,1.936433788,0.001351269,0.001004433,0.000665043
0.69,1.936358262,0.001327864,0.000981028,0.000641638
0.695,1.936291001,0.001304279,0.000957443,0.000618053
0.7,1.936223739,0.001279002,0.000932166,0.000592776
0.705,1.936156477,0.001253725,0.000906889,0.000567499
0.71,1.936095294,0.001228448,0.000881612,0.000542222
0.715,1.936037641,0.001206022,0.000859186,0.000519796
0.72,1.935979988,0.001187299,0.000840463,0.000501073
0.725,1.935922335,0.001168576,0.00082174,0.00048235
0.73,1.935876061,0.001149852,0.000803016,0.000463626
0.735,1.935830153,0.001131129,0.000784293,0.000444903
0.74,1.935784244,0.001112405,0.000765569,0.000426179
0.745,1.935735078,0.001093682,0.000746846,0.000407456
0.75,1.935678492,0.001075478,0.000728642,0.000389252
0.755,1.935621907,0.001061436,0.0007146,0.00037521
0.76,1.935565322,0.001047393,0.000700557,0.000361167
0.765,1.935523118,0.00103335,0.000686514,0.000347124
0.77,1.935488953,0.001019307,0.000672471,0.000333081
0.775,1.935454788,0.001005265,0.000658429,0.000319039
0.78,1.935420624,0.000991222,0.000644386,0.000304996
0.785,1.935373934,0.000977179,0.000630343,0.000290953
0.79,1.935326957,0.000960926,0.00061409,0.0002747
0.795,1.935279981,0.000944075,0.000597239,0.000257849
0.8,1.935236356,0.000927223,0.000580387,0.000240997
0.805,1.935200056,0.000911781,0.000564945,0.000225555
0.81,1.935163756,0.000906164,0.000559328,0.000219938
0.815,1.935127457,0.000900547,0.000553711,0.000214321
0.82,1.935096016,0.00089493,0.000548094,0.000208704
0.825,1.935067189,0.000884974,0.000538138,0.000198748
0.83,1.935038363,0.000869995,0.000523159,0.000183769
0.835,1.935009536,0.000855016,0.00050818,0.00016879
0.84,1.93497755,0.000840038,0.000493202,0.000153812
0.845,1.934945521,0.000831062,0.000484226,0.000144836
0.85,1.934913491,0.000823573,0.000476737,0.000137347
0.855,1.934882496,0.000816084,0.000469248,0.000129858
0.86,1.934853669,0.00080781,0.000460974,0.000121584
0.865,1.934824843,0.000794703,0.000447867,0.000108477
0.87,1.934796017,0.000781597,0.000434761,0.000095371
0.875,1.934771412,0.00076849,0.000421654,8.2264E-05
0.88,1.934748991,0.000761646,0.00041481,7.542E-05
0.885,1.934726571,0.000761646,0.00041481,7.542E-05
0.89,1.93470415,0.000761646,0.00041481,7.542E-05
0.895,1.934678542,0.000761646,0.00041481,7.542E-05
0.9,1.934652918,0.000750952,0.000404116,6.4726E-05
0.905,1.934627295,0.000737846,0.00039101,5.162E-05
0.91,1.934599547,0.000724739,0.000377903,0.000038513
0.915,1.934567518,0.000712498,0.000365662,0.000026272
0.92,1.934535489,0.000705008,0.000358172,1.8782E-05
0.925,1.934503459,0.000697519,0.000350683,0.000011293
0.93,1.934482837,0.00069003,0.000343194,3.804E-06
0.935,1.93446789,0.000686226,0.00033939,0
0.94,1.934452943,0.000686226,0.00033939,0
0.945,1.934437962,0.000686226,0.00033939,0
0.95,1.934414474,0.000686226,0.00033939,0
0.955,1.934390986,0.000672237,0.000325401,0
0.96,1.934367498,0.000655385,0.000308549,0
0.965,1.934346553,0.000638534,0.000291698,0
0.97,1.934330538,0.000622156,0.00027532,0
0.975,1.934314523,0.000608113,0.000261277,0
0.98,1.934298508,0.000594071,0.000247235,0
0.985,1.934283216,0.000580028,0.000233192,0
0.99,1.934268269,0.000573096,0.00022626,0
0.995,1.934253322,0.000573096,0.00022626,0
1,1.934238361,0.000573096,0.00022626,0
1.005,1.934222347,0.000573096,0.00022626,0
1.01,1.934206332,0.000573096,0.00022626,0
1.015,1.934190318,0.000573096,0.00022626,0
1.02,1.934176539,0.000573096,0.00022626,0
1.025,1.934166931,0.000571558,0.000224722,0
1.03,1.934157322,0.000563132,0.000216296,0
1.035,1.934147713,0.000554706,0.00020787,0
1.04,1.934135177,0.000546281,0.000199445,0
1.045,1.934121298,0.000535906,0.00018907,0
1.05,1.934107418,0.000523735,0.000176899,0
1.055,1.9340937,0.000511565,0.000164729,0
1.06,1.934087295,0.000499395,0.000152559,0
1.065,1.934080889,0.000497676,0.00015084,0
1.07,1.934074483,0.000497676,0.00015084,0
1.075,1.934064256,0.000497676,0.00015084,0
1.08,1.934047174,0.000497676,0.00015084,0
1.085,1.934030091,0.000497676,0.00015084,0
1.09,1.934013009,0.000497676,0.00015084,0
1.095,1.934006303,0.000497676,0.00015084,0
1.1,1.934004167,0.000497676,0.00015084,0
1.105,1.934002032,0.000497676,0.00015084,0
1.11,1.933999312,0.000497676,0.00015084,0
1.115,1.933977959,0.000497676,0.00015084,0
1.12,1.933956606,0.000493589,0.000146753,0
1.125,1.933935253,0.000488909,0.000142073,0
1.13,1.93392173,0.000484228,0.000137392,0
1.135,1.93392173,0.000477175,0.000130339,0
1.14,1.93392173,0.00046126,0.000114424,0
1.145,1.93392173,0.000445345,0.000098509,0
1.15,1.933914225,0.00042943,0.000082594,0
1.155,1.933903549,0.000422256,0.00007542,0
1.16,1.933892872,0.000422256,0.00007542,0
1.165,1.933881651,0.000422256,0.00007542,0
1.17,1.933857096,0.000422256,0.00007542,0
1.175,1.93383254,0.000422256,0.00007542,0
1.18,1.933807984,0.000422256,0.00007542,0
1.185,1.93379305,0.000422256,0.00007542,0
1.19,1.933794117,0.000422256,0.00007542,0
1.195,1.933795185,0.000422256,0.00007542,0
1.2,1.933796252,0.000422256,0.00007542,0
1.205,1.93379428,0.000422256,0.00007542,0
1.21,1.933791078,0.000422256,0.00007542,0
1.215,1.933787875,0.000422256,0.00007542,0
1.22,1.933783852,0.000422256,0.00007542,0
1.225,1.933763566,0.000422256,0.00007542,0
1.23,1.933743281,0.000422256,0.00007542,0
1.235,1.933722996,0.000422256,0.00007542,0
1.24,1.933710096,0.000422256,0.00007542,0
1.245,1.933709028,0.000422256,0.00007542,0
1.25,1.93370796,0.000422256,0.00007542,0
1.255,1.933706892,0.000422256,0.00007542,0
1.26,1.933706594,0.000422256,0.00007542,0
1.265,1.933706594,0.000411438,0.000064602,0
1.27,1.933706594,0.000392714,0.000045878,0
1.275,1.933705927,0.000373991,0.000027155,0
1.28,1.933694183,0.000355267,8.431E-06,0
1.285,1.933682439,0.00035112,4.284E-06,0
1.29,1.933670694,0.000348311,1.475E-06,0
1.295,1.93365895,0.000345502,-1.334E-06,0
1.3,1.933647206,0.000343645,-3.191E-06,0
1.305,1.933635462,0.000344581,-0.000002255,0
1.31,1.933623718,0.000345518,-1.318E-06,0
1.315,1.933618983,0.000346454,-3.82E-07,0
1.32,1.933616847,0.000346836,0,0
1.325,1.933614712,0.000346836,0,0
1.33,1.933612857,0.000346836,0,0
1.335,1.933614992,0.000346836,0,0
1.34,1.933617128,0.000346836,0,0
1.345,1.933619263,0.000346836,0,0
1.35,1.933620111,0.000346836,0,0
1.355,1.933619043,0.000346836,0,0
1.36,1.933617975,0.000346836,0,0
1.365,1.933616908,0.000346836,0,0
1.37,1.933593773,0.000346836,0,0
1.375,1.933562812,0.000346836,0,0
1.38,1.93353185,0.000346836,0,0
1.385,1.93350367,0.000346836,0,0
1.39,1.933510075,0.000346836,0,0
1.395,1.933516481,0.000346836,0,0
1.4,1.933522887,0.000346836,0,0
1.405,1.933527539,0.000346836,0,0
1.41,1.933529674,0.000346836,0,0
1.415,1.933531809,0.000346836,0,0
1.42,1.933533945,0.000346836,0,0
1.425,1.933534485,0.000346836,0,0
1.43,1.933534485,0.000346836,0,0
1.435,1.933534485,0.000346836,0,0
1.44,1.933534218,0.000346836,0,0
1.445,1.933531016,0.000346836,0,0
1.45,1.933527813,0.000332475,0,0
1.455,1.93352461,0.000317497,0,0
1.46,1.933520064,0.000302518,0,0
1.465,1.933513658,0.000287261,0,0
1.47,1.933507252,0.000271346,0,0
1.475,1.933500846,0.000255431,0,0
1.48,1.933462972,0.000239515,0,0
1.485,1.933414928,0,0,0
1.49,1.933366884,0,0,0
1.495,1.933323163,0,0,0
1.5,1.933322095,0,0,0
1.505,1.933321027,0,0,0
1.51,1.933319959,0,0,0
1.515,1.933319349,0,0,0
1.52,1.933319349,0,0,0
1.525,1.933319349,0,0,0
1.53,1.933319349,0,0,0
1.535,1.933319349,0,0,0
1.54,1.933319349,0,0,0
1.545,1.933319349,0,0,0
1.55,1.933319349,0,0,0
1.555,1.933319349,0,0,0
1.56,1.933319349,0,0,0
1.565,1.933319349,0,0,0
1.57,1.933319349,0,0,0
1.575,1.933319349,0,0,0
1.58,1.933319349,0,0,0
1.585,1.933319349,0,0,0
1.59,1.933321,0,0,0
1.595,1.933323136,0,0,0
1.6,1.933325271,0,0,0
1.605,1.933325885,0,0,0
1.61,1.933314141,0,0,0
1.615,1.933302397,0,0,0
1.62,1.933290653,0,0,0
1.625,1.933277957,0,0,0
1.63,1.933264077,0,0,0
1.635,1.933250198,0,0,0
1.64,1.933236319,0,0,0
1.645,1.933233295,0,0,0
1.65,1.933233295,0,0,0
1.655,1.933233295,0,0,0
1.66,1.933233295,0,0,0
1.665,1.933233295,0,0,0
1.67,1.933233295,0,0,0
1.675,1.933233295,0,0,0
1.68,1.933233295,0,0,0
1.685,1.933233295,0,0,0
1.69,1.933233295,0,0,0
1.695,1.933233295,0,0,0
1.7,1.933233295,0,0,0
1.705,1.933233295,0,0,0
1.71,1.933233295,0,0,0
1.715,1.933233295,0,0,0
1.72,1.933233295,0,0,0
1.725,1.933233295,0,0,0
1.73,1.933233295,0,0,0
1.735,1.933233295,0,0,0
1.74,1.933233295,0,0,0
1.745,1.933233295,0,0,0
1.75,1.933233295,0,0,0
1.755,1.933233295,0,0,0
1.76,1.933233295,0,0,0
1.765,1.933233295,0,0,0
1.77,1.933233295,0,0,0
1.775,1.933233295,0,0,0
1.78,1.933233295,0,0,0
1.785,1.933233295,0,0,0
1.79,1.933224219,0,0,0
1.795,1.933205001,0,0,0
1.8,1.933185784,0,0,0
1.805,1.933166566,0,0,0
1.81,1.933159433,0,0,0
1.815,1.933155163,0,0,0
1.82,1.933150892,0,0,0
1.825,1.93314724,0,0,0
1.83,1.93314724,0,0,0
1.835,1.93314724,0,0,0
1.84,1.93314724,0,0,0
1.845,1.93314724,0,0,0
1.85,1.93314724,0,0,0
1.855,1.93314724,0,0,0
1.86,1.93314724,0,0,0
1.865,1.93314724,0,0,0
1.87,1.93314724,0,0,0
1.875,1.93314724,0,0,0
1.88,1.93314724,0,0,0
1.885,1.93314724,0,0,0
1.89,1.93314724,0,0,0
1.895,1.93314724,0,0,0
1.9,1.93314724,0,0,0
1.905,1.93314724,0,0,0
1.91,1.93314724,0,0,0
1.915,1.93314724,0,0,0
1.92,1.93314724,0,0,0
1.925,1.93314724,0,0,0
1.93,1.93314724,0,0,0
1.935,1.93314724,0,0,0
1.94,1.93314724,0,0,0
1.945,1.93314724,0,0,0
1.95,1.93314724,0,0,0
1.955,1.93314724,0,0,0
1.96,1.93314724,0,0,0
1.965,1.93314724,0,0,0
1.97,1.93314724,0,0,0
1.975,1.93314724,0,0,0
1.98,1.93314724,0,0,0
1.985,1.93314724,0,0,0
1.99,1.93314724,0,0,0
1.995,1.93314724,0,0,0
2,1.93314724,0,0,0
2.005,1.93314724,0,0,0
2.01,1.93314724,0,0,0
2.015,1.93314724,0,0,0
2.02,1.93314724,0,0,0
2.025,1.93314724,0,0,0
2.03,1.93314724,0,0,0
2.035,1.93314724,0,0,0
2.04,1.93314724,0,0,0
2.045,1.933146856,0,0,0
2.05,1.93314472,0,0,0
2.055,1.933142585,0,0,0
2.06,1.93314045,0,0,0
2.065,1.933128394,0,0,0
2.07,1.933107041,0,0,0
2.075,1.933085688,0,0,0
2.08,1.933064336,0,0,0
2.085,1.933061186,0,0,0
2.09,1.933061186,0,0,0
2.095,1.933061186,0,0,0
2.1,1.933061186,0,0,0
2.105,1.933061186,0,0,0
2.11,1.933061186,0,0,0
2.115,1.933061186,0,0,0
2.12,1.933061186,0,0,0
2.125,1.933061186,0,0,0
2.13,1.933061186,0,0,0
2.135,1.933061186,0,0,0
2.14,1.933061186,0,0,0
2.145,1.933061186,0,0,0
2.15,1.933061186,0,0,0
2.155,1.933061186,0,0,0
2.16,1.933061186,0,0,0
2.165,1.933061186,0,0,0
2.17,1.933061186,0,0,0
2.175,1.933061186,0,0,0
2.18,1.933061186,0,0,0
2.185,1.933061186,0,0,0
2.19,1.933061186,0,0,0
2.195,1.933061186,0,0,0
2.2,1.933061186,0,0,0
2.205,1.933061186,0,0,0
2.21,1.933061186,0,0,0
2.215,1.933061186,0,0,0
2.22,1.933061186,0,0,0
2.225,1.933061186,0,0,0
2.23,1.933061186,0,0,0
2.235,1.933061186,0,0,0
2.24,1.933061186,0,0,0
2.245,1.933061186,0,0,0
2.25,1.933061186,0,0,0
2.255,1.933061186,0,0,0
2.26,1.933061186,0,0,0
2.265,1.933061186,0,0,0
2.27,1.933061186,0,0,0
2.275,1.933061186,0,0,0
2.28,1.933061186,0,0,0
2.285,1.933061186,0,0,0
2.29,1.933061186,0,0,0
2.295,1.933061186,0,0,0
2.3,1.933061186,0,0,0
2.305,1.933061186,0,0,0
2.31,1.933061186,0,0,0
2.315,1.933061186,0,0,0
2.32,1.933061186,0,0,0
2.325,1.933061186,0,0,0
2.33,1.933061186,0,0,0
2.335,1.933061186,0,0,0
2.34,1.933061186,0,0,0
2.345,1.933061186,0,0,0
2.35,1.933061186,0,0,0
2.355,1.933061186,0,0,0
2.36,1.933061186,0,0,0
2.365,1.933061186,0,0,0
2.37,1.933061186,0,0,0
2.375,1.933061186,0,0,0
2.38,1.933061186,0,0,0
2.385,1.933061186,0,0,0
2.39,1.933061186,0,0,0
2.395,1.933061186,0,0,0
2.4,1.933061186,0,0,0
2.405,1.933061186,0,0,0
2.41,1.933061186,0,0,0
2.415,1.933061186,0,0,0
2.42,1.933061186,0,0,0
2.425,1.933061186,0,0,0
2.43,1.933061186,0,0,0
2.435,1.933061186,0,0,0
2.44,1.933061186,0,0,0
2.445,1.933061186,0,0,0
2.45,1.933061186,0,0,0
2.455,1.933061186,0,0,0
2.46,1.933061186,0,0,0
2.465,1.933061186,0,0,0
2.47,1.933061186,0,0,0
2.475,1.933061186,0,0,0
2.48,1.933061186,0,0,0
2.485,1.933061186,0,0,0
2.49,1.933061186,0,0,0
2.495,1.933061186,0,0,0
2.5,1.933061186,0,0,0